reportdate,Acres
2025-04-22,5.330000000000001
2025-04-23,5.33
2025-04-24,5.44
2025-04-25,5.74
2025-04-28,6.04
2025-04-29,6.140000000000001
2025-04-30,6.15
2025-05-01,6.3500000000000005
2025-05-02,6.300000000000001
2025-05-03,6.4
2025-05-04,6.32
2025-05-05,6.43
2025-05-06,6.88
2025-05-07,6.9799999999999995
2025-05-08,6.8999999999999995
2025-05-12,9.040000000000001
2025-05-13,9.14
2025-05-15,9.91
2025-05-16,10.020000000000001
2025-05-19,36.29
2025-05-20,36.29
2025-05-21,36.49
2025-05-22,36.49
2025-05-23,36.59
2025-05-24,37.71
2025-05-25,639.61
2025-05-27,639.51
2025-05-28,674.49
2025-05-29,1082.84
2025-05-30,1082.91
2025-05-31,1082.9099999999999
2025-06-01,1082.9099999999999
2025-06-02,1082.9099999999999
2025-06-04,1085.2099999999998
2025-06-05,1085.61
2025-06-06,1085.61
2025-06-07,1094.91
2025-06-08,1094.9099999999999
2025-06-09,1094.71
2025-06-10,1094.8137741
2025-06-11,1095.0137740999999
2025-06-12,1096.7137741000001
2025-06-13,1096.8137740999998
2025-06-14,1131.9137741
2025-06-15,1231.7137741
2025-06-17,3433.8437741
2025-06-18,15478.3337741
2025-06-19,20906.7537741
2025-06-20,58838.7437741
2025-06-21,99107.73377410001
2025-06-22,184522.29377410002
2025-06-23,232792.30377410003
2025-06-24,247681.4137741
2025-06-25,266830.3637741
2025-06-26,291150.1237741
2025-06-27,308214.2037741
2025-06-28,330255.4137741
2025-06-29,340648.6637741
2025-06-30,345581.43377410003
2025-07-01,348018.43377410003
2025-07-02,354641.2937741
2025-07-03,375182.4437741
2025-07-04,410166.3637741
2025-07-05,438722.7937741
2025-07-06,516439.6637741
2025-07-08,589068.1937741
2025-07-10,676204.5037741
2025-07-11,701518.7237741
2025-07-12,737529.6637741
2025-07-13,797734.1637741
2025-07-14,845549.4537741
2025-07-15,871391.9637741
2025-07-16,870829.0937741001
