Year,Month,Day,ProtectionUnit,TotalFires,Acres,reportdate
2004,5,20,FAS,17.0,4.8,2004-05-20
2004,5,20,KKS,13.0,5.6,2004-05-20
2004,5,20,MSS,26.0,42.7,2004-05-20
2004,5,20,CGF,1.0,0.1,2004-05-20
2004,5,20,SWS,1.0,0.1,2004-05-20
2004,5,21,GAD,1.0,1.0,2004-05-21
2004,5,21,MID,2.0,1.1,2004-05-21
2004,5,21,UYD,1.0,0.1,2004-05-21
2004,5,21,CRS,3.0,70.2,2004-05-21
2004,5,21,DAS,6.0,18.6,2004-05-21
2004,5,21,FAS,20.0,5.1,2004-05-21
2004,5,21,KKS,14.0,6.4,2004-05-21
2004,5,21,MSS,28.0,42.9,2004-05-21
2004,5,21,CGF,1.0,0.1,2004-05-21
2004,5,21,SWS,1.0,0.1,2004-05-21
2004,5,22,GAD,1.0,1.0,2004-05-22
2004,5,22,MID,2.0,1.1,2004-05-22
2004,5,22,UYD,1.0,0.1,2004-05-22
2004,5,22,CRS,3.0,70.2,2004-05-22
2004,5,22,DAS,6.0,18.6,2004-05-22
2004,5,22,FAS,21.0,5.2,2004-05-22
2004,5,22,KKS,15.0,9.4,2004-05-22
2004,5,22,MSS,28.0,42.9,2004-05-22
2004,5,22,CGF,1.0,0.1,2004-05-22
2004,5,22,SWS,2.0,70.0,2004-05-22
2004,5,23,GAD,1.0,1.0,2004-05-23
2004,5,23,MID,2.0,1.1,2004-05-23
2004,5,23,UYD,1.0,0.1,2004-05-23
2004,5,23,CRS,3.0,70.2,2004-05-23
2004,5,23,DAS,6.0,18.6,2004-05-23
2004,5,23,FAS,21.0,5.2,2004-05-23
2004,5,23,KKS,16.0,9.5,2004-05-23
2004,5,23,MSS,29.0,43.9,2004-05-23
2004,5,23,TAS,1.0,0.1,2004-05-23
2004,5,23,CGF,1.0,0.1,2004-05-23
2004,5,23,SWS,2.0,70.0,2004-05-23
2004,5,24,GAD,1.0,1.0,2004-05-24
2004,5,24,MID,2.0,1.1,2004-05-24
2004,5,24,UYD,1.0,0.1,2004-05-24
2004,5,24,CRS,3.0,70.2,2004-05-24
2004,5,24,DAS,6.0,18.6,2004-05-24
2004,5,24,FAS,23.0,5.5,2004-05-24
2004,5,24,HNS,1.0,0.1,2004-05-24
2004,5,24,KKS,16.0,9.5,2004-05-24
2004,5,24,MSS,29.0,43.9,2004-05-24
2004,5,24,TAS,1.0,0.1,2004-05-24
2004,5,24,CGF,1.0,0.1,2004-05-24
2004,5,24,SWS,2.0,70.0,2004-05-24
2004,5,25,GAD,1.0,1.0,2004-05-25
2004,5,25,MID,2.0,1.1,2004-05-25
2004,5,25,UYD,1.0,0.1,2004-05-25
2004,5,25,CRS,3.0,70.2,2004-05-25
2004,5,25,DAS,6.0,18.6,2004-05-25
2004,5,25,FAS,23.0,5.5,2004-05-25
2004,5,25,HNS,1.0,0.1,2004-05-25
2004,5,25,KKS,16.0,9.5,2004-05-25
2004,5,25,MSS,29.0,43.9,2004-05-25
2004,5,25,TAS,1.0,0.1,2004-05-25
2004,5,25,CGF,1.0,0.1,2004-05-25
2004,5,25,SWS,2.0,70.0,2004-05-25
2004,5,26,GAD,1.0,1.0,2004-05-26
2004,5,26,MID,2.0,1.1,2004-05-26
2004,5,26,UYD,1.0,0.1,2004-05-26
2004,5,26,CRS,3.0,70.2,2004-05-26
2004,5,26,DAS,6.0,18.6,2004-05-26
2004,5,26,FAS,23.0,5.5,2004-05-26
2004,5,26,HNS,1.0,0.1,2004-05-26
2004,5,26,KKS,16.0,9.5,2004-05-26
2004,5,26,MSS,29.0,43.8,2004-05-26
2004,5,26,TAS,1.0,0.1,2004-05-26
